approach,dataset,eval_metric,corr_metric,value
trad,newsroom,rouge1,pearsonr,0.10333377778856395
trad,newsroom,rouge1,kendalltau,0.09035838869367877
trad,newsroom,rouge1,spearmanr,0.12109894758863406
trad,newsroom,rouge2,pearsonr,0.06644461559584176
trad,newsroom,rouge2,kendalltau,0.1138195521743324
trad,newsroom,rouge2,spearmanr,0.13823255830098669
trad,newsroom,rougeL,pearsonr,0.07623355526295279
trad,newsroom,rougeL,kendalltau,0.07146006058955642
trad,newsroom,rougeL,spearmanr,0.09565963935782064
trad,newsroom,rougeLsum,pearsonr,0.07623355526295279
trad,newsroom,rougeLsum,kendalltau,0.07146006058955642
trad,newsroom,rougeLsum,spearmanr,0.09565963935782064
trad,newsroom,bertscore,pearsonr,0.16125554302690662
trad,newsroom,bertscore,kendalltau,0.10242119795409017
trad,newsroom,bertscore,spearmanr,0.1379064759053414
trad,newsroom,bleurt,pearsonr,0.18272509551507893
trad,newsroom,bleurt,kendalltau,0.12375329709515975
trad,newsroom,bleurt,spearmanr,0.16588893405626537
trad,realsumm_abs,rouge1,pearsonr,0.5840501663551281
trad,realsumm_abs,rouge1,kendalltau,0.41054106736403634
trad,realsumm_abs,rouge1,spearmanr,0.5728265389879345
trad,realsumm_abs,rouge2,pearsonr,0.5655386668052393
trad,realsumm_abs,rouge2,kendalltau,0.4129394700887854
trad,realsumm_abs,rouge2,spearmanr,0.5758401967870274
trad,realsumm_abs,rougeL,pearsonr,0.5128340976719938
trad,realsumm_abs,rougeL,kendalltau,0.35970070962517414
trad,realsumm_abs,rougeL,spearmanr,0.5103572079605415
trad,realsumm_abs,rougeLsum,pearsonr,0.5128340976719938
trad,realsumm_abs,rougeLsum,kendalltau,0.35970070962517414
trad,realsumm_abs,rougeLsum,spearmanr,0.5103572079605415
trad,realsumm_abs,bertscore,pearsonr,0.44853862591075916
trad,realsumm_abs,bertscore,kendalltau,0.298181723844647
trad,realsumm_abs,bertscore,spearmanr,0.4267872545556184
trad,realsumm_abs,bleurt,pearsonr,0.5639529039182334
trad,realsumm_abs,bleurt,kendalltau,0.38726835325371395
trad,realsumm_abs,bleurt,spearmanr,0.5448529525837188
trad,realsumm_ext,rouge1,pearsonr,0.2547127415815572
trad,realsumm_ext,rouge1,kendalltau,0.14861665986848718
trad,realsumm_ext,rouge1,spearmanr,0.20988246942755948
trad,realsumm_ext,rouge2,pearsonr,0.2971352930625117
trad,realsumm_ext,rouge2,kendalltau,0.19116419778764435
trad,realsumm_ext,rouge2,spearmanr,0.2712405237874062
trad,realsumm_ext,rougeL,pearsonr,0.24168161174441327
trad,realsumm_ext,rougeL,kendalltau,0.15966207551799702
trad,realsumm_ext,rougeL,spearmanr,0.2316855126892376
trad,realsumm_ext,rougeLsum,pearsonr,0.24168161174441327
trad,realsumm_ext,rougeLsum,kendalltau,0.15966207551799702
trad,realsumm_ext,rougeLsum,spearmanr,0.2316855126892376
trad,realsumm_ext,bertscore,pearsonr,0.21735376940093853
trad,realsumm_ext,bertscore,kendalltau,0.1319744755333444
trad,realsumm_ext,bertscore,spearmanr,0.1900601668858958
trad,realsumm_ext,bleurt,pearsonr,0.27598918859939253
trad,realsumm_ext,bleurt,kendalltau,0.16133375638247577
trad,realsumm_ext,bleurt,spearmanr,0.23304264278372805
new,newsroom,rouge1,pearsonr,0.23519412380421426
new,newsroom,rouge1,kendalltau,0.230049970457926
new,newsroom,rouge1,spearmanr,0.30462475688828616
new,newsroom,rouge2,pearsonr,0.25458466208533526
new,newsroom,rouge2,kendalltau,0.24969212916375597
new,newsroom,rouge2,spearmanr,0.32867059081418815
new,newsroom,rougeL,pearsonr,0.24483542655678758
new,newsroom,rougeL,kendalltau,0.23978776919636247
new,newsroom,rougeL,spearmanr,0.31730189772502404
new,newsroom,rougeLsum,pearsonr,0.24483542655678758
new,newsroom,rougeLsum,kendalltau,0.23978776919636247
new,newsroom,rougeLsum,spearmanr,0.31730189772502404
new,newsroom,bertscore,pearsonr,0.3928302882896783
new,newsroom,bertscore,kendalltau,0.27059707169252417
new,newsroom,bertscore,spearmanr,0.3551119576052184
new,newsroom,bleurt,pearsonr,0.3289958775679059
new,newsroom,bleurt,kendalltau,0.23010560372522243
new,newsroom,bleurt,spearmanr,0.304950841486319
new,realsumm_abs,rouge1,pearsonr,0.3233123444275029
new,realsumm_abs,rouge1,kendalltau,0.21543617665062453
new,realsumm_abs,rouge1,spearmanr,0.31698043204022797
new,realsumm_abs,rouge2,pearsonr,0.32411722841106394
new,realsumm_abs,rouge2,kendalltau,0.2173068213130148
new,realsumm_abs,rouge2,spearmanr,0.32019622910470497
new,realsumm_abs,rougeL,pearsonr,0.32676399139344814
new,realsumm_abs,rougeL,kendalltau,0.2174161106949151
new,realsumm_abs,rougeL,spearmanr,0.3200441891567805
new,realsumm_abs,rougeLsum,pearsonr,0.32676399139344814
new,realsumm_abs,rougeLsum,kendalltau,0.2174161106949151
new,realsumm_abs,rougeLsum,spearmanr,0.3200441891567805
new,realsumm_abs,bertscore,pearsonr,0.18434675916303808
new,realsumm_abs,bertscore,kendalltau,0.1260188322398467
new,realsumm_abs,bertscore,spearmanr,0.18643722186111403
new,realsumm_abs,bleurt,pearsonr,0.23286929878314155
new,realsumm_abs,bleurt,kendalltau,0.15180020999940166
new,realsumm_abs,bleurt,spearmanr,0.22489590287772943
new,realsumm_ext,rouge1,pearsonr,0.17056769992946544
new,realsumm_ext,rouge1,kendalltau,0.11668324576907085
new,realsumm_ext,rouge1,spearmanr,0.1707065957005945
new,realsumm_ext,rouge2,pearsonr,0.16979206605718555
new,realsumm_ext,rouge2,kendalltau,0.119155874680575
new,realsumm_ext,rouge2,spearmanr,0.1740230088329624
new,realsumm_ext,rougeL,pearsonr,0.17064807216820463
new,realsumm_ext,rougeL,kendalltau,0.11848948672705939
new,realsumm_ext,rougeL,spearmanr,0.17271776887656132
new,realsumm_ext,rougeLsum,pearsonr,0.17064807216820463
new,realsumm_ext,rougeLsum,kendalltau,0.11848948672705939
new,realsumm_ext,rougeLsum,spearmanr,0.17271776887656132
new,realsumm_ext,bertscore,pearsonr,0.06441272082620707
new,realsumm_ext,bertscore,kendalltau,0.03716375638430696
new,realsumm_ext,bertscore,spearmanr,0.054132651023105986
new,realsumm_ext,bleurt,pearsonr,0.060340096339920005
new,realsumm_ext,bleurt,kendalltau,0.0300019473396218
new,realsumm_ext,bleurt,spearmanr,0.043896416724389244
