,litepyramid_recall
bertscore_precision,0.143
bertscore_recall,0.138
bertscore_f1,0.161
bertscore-topk-5_precision,0.265
bertscore-topk-5_recall,0.167
bertscore-topk-5_f1,0.235
bertscore-topk-10_precision,0.183
bertscore-topk-10_recall,-0.004
bertscore-topk-10_f1,0.053
bertscore-topk-20_precision,0.068
bertscore-topk-20_recall,0.033
bertscore-topk-20_f1,0.048
bertscore-topp-0.2_precision,0.207
bertscore-topp-0.2_recall,0.273
bertscore-topp-0.2_f1,0.322
bertscore-topp-0.5_precision,0.213
bertscore-topp-0.5_recall,0.295
bertscore-topp-0.5_f1,0.272
bertscore-topp-0.7_precision,0.192
bertscore-topp-0.7_recall,0.209
bertscore-topp-0.7_f1,0.21
bertscore-sentence-cos-mpnet_P,0.055
bertscore-sentence-cos-mpnet_R,0.176
bertscore-sentence-cos-mpnet_F,0.175
bertscore-sentence-cos-mpnet-topk-5_P,0.27
bertscore-sentence-cos-mpnet-topk-5_R,0.036
bertscore-sentence-cos-mpnet-topk-5_F,0.157
bertscore-sentence-cos-mpnet-topk-10_P,0.14
bertscore-sentence-cos-mpnet-topk-10_R,-0.05
bertscore-sentence-cos-mpnet-topk-10_F,-0.001
bertscore-sentence-cos-mpnet-topk-20_P,0.097
bertscore-sentence-cos-mpnet-topk-20_R,0.106
bertscore-sentence-cos-mpnet-topk-20_F,0.119
bertscore-sentence-cos-mpnet-topp-0.2_P,-0.001
bertscore-sentence-cos-mpnet-topp-0.2_R,0.211
bertscore-sentence-cos-mpnet-topp-0.2_F,0.217
bertscore-sentence-cos-mpnet-topp-0.5_P,0.012
bertscore-sentence-cos-mpnet-topp-0.5_R,0.203
bertscore-sentence-cos-mpnet-topp-0.5_F,0.199
bertscore-sentence-cos-mpnet-topp-0.7_P,0.059
bertscore-sentence-cos-mpnet-topp-0.7_R,0.214
bertscore-sentence-cos-mpnet-topp-0.7_F,0.199
bertscore-sentence-cos-roberta_P,0.054
bertscore-sentence-cos-roberta_R,0.181
bertscore-sentence-cos-roberta_F,0.18
bertscore-sentence-cos-roberta-topk-5_P,0.27
bertscore-sentence-cos-roberta-topk-5_R,0.02
bertscore-sentence-cos-roberta-topk-5_F,0.142
bertscore-sentence-cos-roberta-topk-10_P,0.135
bertscore-sentence-cos-roberta-topk-10_R,-0.042
bertscore-sentence-cos-roberta-topk-10_F,-0.001
bertscore-sentence-cos-roberta-topk-20_P,0.093
bertscore-sentence-cos-roberta-topk-20_R,0.122
bertscore-sentence-cos-roberta-topk-20_F,0.128
bertscore-sentence-cos-roberta-topp-0.2_P,-0.004
bertscore-sentence-cos-roberta-topp-0.2_R,0.206
bertscore-sentence-cos-roberta-topp-0.2_F,0.21
bertscore-sentence-cos-roberta-topp-0.5_P,0.014
bertscore-sentence-cos-roberta-topp-0.5_R,0.225
bertscore-sentence-cos-roberta-topp-0.5_F,0.212
bertscore-sentence-cos-roberta-topp-0.7_P,0.039
bertscore-sentence-cos-roberta-topp-0.7_R,0.229
bertscore-sentence-cos-roberta-topp-0.7_F,0.226
rouge_rouge1,0.305
rouge_rouge2,0.31
rouge_rougeL,0.291
rouge_rougeLsum,0.291
rouge-topk-5_rouge1,0.182
rouge-topk-5_rouge2,0.225
rouge-topk-5_rougeL,0.155
rouge-topk-5_rougeLsum,0.155
rouge-topk-10_rouge1,-0.007
rouge-topk-10_rouge2,0.033
rouge-topk-10_rougeL,0.012
rouge-topk-10_rougeLsum,0.012
rouge-topk-20_rouge1,0.023
rouge-topk-20_rouge2,0.063
rouge-topk-20_rougeL,0.025
rouge-topk-20_rougeLsum,0.025
rouge-topp-0.2_rouge1,0.297
rouge-topp-0.2_rouge2,0.315
rouge-topp-0.2_rougeL,0.289
rouge-topp-0.2_rougeLsum,0.289
rouge-topp-0.5_rouge1,0.302
rouge-topp-0.5_rouge2,0.296
rouge-topp-0.5_rougeL,0.276
rouge-topp-0.5_rougeLsum,0.276
rouge-topp-0.7_rouge1,0.288
rouge-topp-0.7_rouge2,0.298
rouge-topp-0.7_rougeL,0.287
rouge-topp-0.7_rougeLsum,0.287
bleurt_scores,0.068
bleurt-topk-5_scores,0.23
bleurt-topk-10_scores,0.146
bleurt-topk-20_scores,0.07
bleurt-topp-0.2_scores,0.378
bleurt-topp-0.5_scores,0.149
bleurt-topp-0.7_scores,0.115
bertscore-anyref-pegasus-large_precision,0.222
bertscore-anyref-pegasus-large_recall,0.16
bertscore-anyref-pegasus-large_f1,0.214
rouge-anyref-pegasus-large_rouge1,0.251
rouge-anyref-pegasus-large_rouge2,0.227
rouge-anyref-pegasus-large_rougeL,0.21
rouge-anyref-pegasus-large_rougeLsum,0.21
bleurt-anyref-pegasus-large_scores,0.179
bertscore-sentence-mnli-roberta-not_neutral_P,-0.261
bertscore-sentence-mnli-roberta-not_neutral_R,-0.04
bertscore-sentence-mnli-roberta-not_neutral_F,-0.065
bertscore-sentence-mnli-roberta-entail_only_P,-0.167
bertscore-sentence-mnli-roberta-entail_only_R,-0.05
bertscore-sentence-mnli-roberta-entail_only_F,-0.06
bertscore-sentence-mnli-roberta-entail_contradict_P,-0.161
bertscore-sentence-mnli-roberta-entail_contradict_R,0.001
bertscore-sentence-mnli-roberta-entail_contradict_F,-0.021
bertscore-sentence-mnli-bart-not_neutral_P,-0.144
bertscore-sentence-mnli-bart-not_neutral_R,-0.124
bertscore-sentence-mnli-bart-not_neutral_F,-0.132
bertscore-sentence-mnli-bart-entail_only_P,-0.016
bertscore-sentence-mnli-bart-entail_only_R,0.1
bertscore-sentence-mnli-bart-entail_only_F,0.091
bertscore-sentence-mnli-bart-entail_contradict_P,-0.008
bertscore-sentence-mnli-bart-entail_contradict_R,0.192
bertscore-sentence-mnli-bart-entail_contradict_F,0.274
bertscore-sentence-mnli-deberta-xlarge-not_neutral_P,-0.081
bertscore-sentence-mnli-deberta-xlarge-not_neutral_R,-0.042
bertscore-sentence-mnli-deberta-xlarge-not_neutral_F,-0.032
bertscore-sentence-mnli-deberta-xlarge-entail_only_P,0.0
bertscore-sentence-mnli-deberta-xlarge-entail_only_R,0.122
bertscore-sentence-mnli-deberta-xlarge-entail_only_F,0.124
bertscore-sentence-mnli-deberta-xlarge-entail_contradict_P,0.016
bertscore-sentence-mnli-deberta-xlarge-entail_contradict_R,0.199
bertscore-sentence-mnli-deberta-xlarge-entail_contradict_F,0.201
bertscore-anyref-bart-default_precision,0.194
bertscore-anyref-bart-default_recall,0.245
bertscore-anyref-bart-default_f1,0.242
bertscore-anyref-bart-min-0.2-0.5_precision,0.174
bertscore-anyref-bart-min-0.2-0.5_recall,0.241
bertscore-anyref-bart-min-0.2-0.5_f1,0.24
bertscore-anyref-bart-min-0.5-0.7_precision,0.174
bertscore-anyref-bart-min-0.5-0.7_recall,0.241
bertscore-anyref-bart-min-0.5-0.7_f1,0.24
bertscore-anyref-bart-mean-0.2-0.5_precision,0.174
bertscore-anyref-bart-mean-0.2-0.5_recall,0.241
bertscore-anyref-bart-mean-0.2-0.5_f1,0.24
bertscore-anyref-bart-mean-0.5-0.7_precision,0.174
bertscore-anyref-bart-mean-0.5-0.7_recall,0.241
bertscore-anyref-bart-mean-0.5-0.7_f1,0.24
bertscore-anyref-bart-constant-16-32_precision,0.174
bertscore-anyref-bart-constant-16-32_recall,0.241
bertscore-anyref-bart-constant-16-32_f1,0.24
bertscore-anyref-bart-constant-32-64_precision,0.174
bertscore-anyref-bart-constant-32-64_recall,0.241
bertscore-anyref-bart-constant-32-64_f1,0.24
rouge-anyref-bart-default_rouge1,0.208
rouge-anyref-bart-default_rouge2,0.24
rouge-anyref-bart-default_rougeL,0.242
rouge-anyref-bart-default_rougeLsum,0.242
rouge-anyref-bart-min-0.2-0.5_rouge1,0.209
rouge-anyref-bart-min-0.2-0.5_rouge2,0.238
rouge-anyref-bart-min-0.2-0.5_rougeL,0.242
rouge-anyref-bart-min-0.2-0.5_rougeLsum,0.242
rouge-anyref-bart-min-0.5-0.7_rouge1,0.209
rouge-anyref-bart-min-0.5-0.7_rouge2,0.238
rouge-anyref-bart-min-0.5-0.7_rougeL,0.242
rouge-anyref-bart-min-0.5-0.7_rougeLsum,0.242
rouge-anyref-bart-mean-0.2-0.5_rouge1,0.209
rouge-anyref-bart-mean-0.2-0.5_rouge2,0.238
rouge-anyref-bart-mean-0.2-0.5_rougeL,0.242
rouge-anyref-bart-mean-0.2-0.5_rougeLsum,0.242
rouge-anyref-bart-mean-0.5-0.7_rouge1,0.209
rouge-anyref-bart-mean-0.5-0.7_rouge2,0.238
rouge-anyref-bart-mean-0.5-0.7_rougeL,0.242
rouge-anyref-bart-mean-0.5-0.7_rougeLsum,0.242
rouge-anyref-bart-constant-16-32_rouge1,0.209
rouge-anyref-bart-constant-16-32_rouge2,0.238
rouge-anyref-bart-constant-16-32_rougeL,0.242
rouge-anyref-bart-constant-16-32_rougeLsum,0.242
rouge-anyref-bart-constant-32-64_rouge1,0.209
rouge-anyref-bart-constant-32-64_rouge2,0.238
rouge-anyref-bart-constant-32-64_rougeL,0.242
rouge-anyref-bart-constant-32-64_rougeLsum,0.242
bleurt-anyref-bart-default_scores,0.271
bleurt-anyref-bart-min-0.2-0.5_scores,0.27
bleurt-anyref-bart-min-0.5-0.7_scores,0.27
bleurt-anyref-bart-mean-0.2-0.5_scores,0.27
bleurt-anyref-bart-mean-0.5-0.7_scores,0.27
bleurt-anyref-bart-constant-16-32_scores,0.27
bleurt-anyref-bart-constant-32-64_scores,0.27
bertscore-anyref-pegasus-newsroom-default_precision,-0.063
bertscore-anyref-pegasus-newsroom-default_recall,-0.019
bertscore-anyref-pegasus-newsroom-default_f1,-0.033
bertscore-anyref-pegasus-newsroom-min-0.2-0.5_precision,-0.022
bertscore-anyref-pegasus-newsroom-min-0.2-0.5_recall,0.026
bertscore-anyref-pegasus-newsroom-min-0.2-0.5_f1,-0.007
bertscore-anyref-pegasus-newsroom-min-0.5-0.7_precision,-0.022
bertscore-anyref-pegasus-newsroom-min-0.5-0.7_recall,0.026
bertscore-anyref-pegasus-newsroom-min-0.5-0.7_f1,-0.007
bertscore-anyref-pegasus-newsroom-mean-0.2-0.5_precision,-0.022
bertscore-anyref-pegasus-newsroom-mean-0.2-0.5_recall,0.026
bertscore-anyref-pegasus-newsroom-mean-0.2-0.5_f1,-0.007
bertscore-anyref-pegasus-newsroom-mean-0.5-0.7_precision,-0.022
bertscore-anyref-pegasus-newsroom-mean-0.5-0.7_recall,0.026
bertscore-anyref-pegasus-newsroom-mean-0.5-0.7_f1,-0.007
bertscore-anyref-pegasus-newsroom-constant-16-32_precision,-0.054
bertscore-anyref-pegasus-newsroom-constant-16-32_recall,0.018
bertscore-anyref-pegasus-newsroom-constant-16-32_f1,-0.023
bertscore-anyref-pegasus-newsroom-constant-32-64_precision,-0.063
bertscore-anyref-pegasus-newsroom-constant-32-64_recall,-0.019
bertscore-anyref-pegasus-newsroom-constant-32-64_f1,-0.033
bertscore-anyref-pegasus-cnndm-default_precision,0.249
bertscore-anyref-pegasus-cnndm-default_recall,0.068
bertscore-anyref-pegasus-cnndm-default_f1,0.179
bertscore-anyref-pegasus-cnndm-min-0.2-0.5_precision,0.249
bertscore-anyref-pegasus-cnndm-min-0.2-0.5_recall,0.068
bertscore-anyref-pegasus-cnndm-min-0.2-0.5_f1,0.179
bertscore-anyref-pegasus-cnndm-min-0.5-0.7_precision,0.249
bertscore-anyref-pegasus-cnndm-min-0.5-0.7_recall,0.068
bertscore-anyref-pegasus-cnndm-min-0.5-0.7_f1,0.179
bertscore-anyref-pegasus-cnndm-mean-0.2-0.5_precision,0.249
bertscore-anyref-pegasus-cnndm-mean-0.2-0.5_recall,0.068
bertscore-anyref-pegasus-cnndm-mean-0.2-0.5_f1,0.179
bertscore-anyref-pegasus-cnndm-mean-0.5-0.7_precision,0.249
bertscore-anyref-pegasus-cnndm-mean-0.5-0.7_recall,0.068
bertscore-anyref-pegasus-cnndm-mean-0.5-0.7_f1,0.179
bertscore-anyref-pegasus-cnndm-constant-16-32_precision,0.249
bertscore-anyref-pegasus-cnndm-constant-16-32_recall,0.068
bertscore-anyref-pegasus-cnndm-constant-16-32_f1,0.179
bertscore-anyref-pegasus-cnndm-constant-32-64_precision,0.249
bertscore-anyref-pegasus-cnndm-constant-32-64_recall,0.068
bertscore-anyref-pegasus-cnndm-constant-32-64_f1,0.179
rouge-anyref-pegasus-newsroom-default_rouge1,-0.088
rouge-anyref-pegasus-newsroom-default_rouge2,-0.073
rouge-anyref-pegasus-newsroom-default_rougeL,-0.066
rouge-anyref-pegasus-newsroom-default_rougeLsum,-0.066
rouge-anyref-pegasus-newsroom-min-0.2-0.5_rouge1,-0.051
rouge-anyref-pegasus-newsroom-min-0.2-0.5_rouge2,-0.038
rouge-anyref-pegasus-newsroom-min-0.2-0.5_rougeL,-0.018
rouge-anyref-pegasus-newsroom-min-0.2-0.5_rougeLsum,-0.018
rouge-anyref-pegasus-newsroom-min-0.5-0.7_rouge1,-0.051
rouge-anyref-pegasus-newsroom-min-0.5-0.7_rouge2,-0.038
rouge-anyref-pegasus-newsroom-min-0.5-0.7_rougeL,-0.018
rouge-anyref-pegasus-newsroom-min-0.5-0.7_rougeLsum,-0.018
rouge-anyref-pegasus-newsroom-mean-0.2-0.5_rouge1,-0.051
rouge-anyref-pegasus-newsroom-mean-0.2-0.5_rouge2,-0.038
rouge-anyref-pegasus-newsroom-mean-0.2-0.5_rougeL,-0.018
rouge-anyref-pegasus-newsroom-mean-0.2-0.5_rougeLsum,-0.018
rouge-anyref-pegasus-newsroom-mean-0.5-0.7_rouge1,-0.051
rouge-anyref-pegasus-newsroom-mean-0.5-0.7_rouge2,-0.038
rouge-anyref-pegasus-newsroom-mean-0.5-0.7_rougeL,-0.018
rouge-anyref-pegasus-newsroom-mean-0.5-0.7_rougeLsum,-0.018
rouge-anyref-pegasus-newsroom-constant-16-32_rouge1,-0.085
rouge-anyref-pegasus-newsroom-constant-16-32_rouge2,-0.062
rouge-anyref-pegasus-newsroom-constant-16-32_rougeL,-0.053
rouge-anyref-pegasus-newsroom-constant-16-32_rougeLsum,-0.053
rouge-anyref-pegasus-newsroom-constant-32-64_rouge1,-0.088
rouge-anyref-pegasus-newsroom-constant-32-64_rouge2,-0.073
rouge-anyref-pegasus-newsroom-constant-32-64_rougeL,-0.066
rouge-anyref-pegasus-newsroom-constant-32-64_rougeLsum,-0.066
rouge-anyref-pegasus-cnndm-default_rouge1,0.264
rouge-anyref-pegasus-cnndm-default_rouge2,0.215
rouge-anyref-pegasus-cnndm-default_rougeL,0.241
rouge-anyref-pegasus-cnndm-default_rougeLsum,0.241
rouge-anyref-pegasus-cnndm-min-0.2-0.5_rouge1,0.264
rouge-anyref-pegasus-cnndm-min-0.2-0.5_rouge2,0.215
rouge-anyref-pegasus-cnndm-min-0.2-0.5_rougeL,0.241
rouge-anyref-pegasus-cnndm-min-0.2-0.5_rougeLsum,0.241
rouge-anyref-pegasus-cnndm-min-0.5-0.7_rouge1,0.264
rouge-anyref-pegasus-cnndm-min-0.5-0.7_rouge2,0.215
rouge-anyref-pegasus-cnndm-min-0.5-0.7_rougeL,0.241
rouge-anyref-pegasus-cnndm-min-0.5-0.7_rougeLsum,0.241
rouge-anyref-pegasus-cnndm-mean-0.2-0.5_rouge1,0.264
rouge-anyref-pegasus-cnndm-mean-0.2-0.5_rouge2,0.215
rouge-anyref-pegasus-cnndm-mean-0.2-0.5_rougeL,0.241
rouge-anyref-pegasus-cnndm-mean-0.2-0.5_rougeLsum,0.241
rouge-anyref-pegasus-cnndm-mean-0.5-0.7_rouge1,0.264
rouge-anyref-pegasus-cnndm-mean-0.5-0.7_rouge2,0.215
rouge-anyref-pegasus-cnndm-mean-0.5-0.7_rougeL,0.241
rouge-anyref-pegasus-cnndm-mean-0.5-0.7_rougeLsum,0.241
rouge-anyref-pegasus-cnndm-constant-16-32_rouge1,0.264
rouge-anyref-pegasus-cnndm-constant-16-32_rouge2,0.215
rouge-anyref-pegasus-cnndm-constant-16-32_rougeL,0.241
rouge-anyref-pegasus-cnndm-constant-16-32_rougeLsum,0.241
rouge-anyref-pegasus-cnndm-constant-32-64_rouge1,0.264
rouge-anyref-pegasus-cnndm-constant-32-64_rouge2,0.215
rouge-anyref-pegasus-cnndm-constant-32-64_rougeL,0.241
rouge-anyref-pegasus-cnndm-constant-32-64_rougeLsum,0.241
bleurt-anyref-pegasus-newsroom-default_scores,-0.012
bleurt-anyref-pegasus-newsroom-min-0.2-0.5_scores,0.016
bleurt-anyref-pegasus-newsroom-min-0.5-0.7_scores,0.016
bleurt-anyref-pegasus-newsroom-mean-0.2-0.5_scores,0.016
bleurt-anyref-pegasus-newsroom-mean-0.5-0.7_scores,0.016
bleurt-anyref-pegasus-newsroom-constant-16-32_scores,-0.005
bleurt-anyref-pegasus-newsroom-constant-32-64_scores,-0.012
bleurt-anyref-pegasus-cnndm-default_scores,0.156
bleurt-anyref-pegasus-cnndm-min-0.2-0.5_scores,0.156
bleurt-anyref-pegasus-cnndm-min-0.5-0.7_scores,0.156
bleurt-anyref-pegasus-cnndm-mean-0.2-0.5_scores,0.156
bleurt-anyref-pegasus-cnndm-mean-0.5-0.7_scores,0.156
bleurt-anyref-pegasus-cnndm-constant-16-32_scores,0.156
bleurt-anyref-pegasus-cnndm-constant-32-64_scores,0.156
bertscore-sentence-pagerank-cos-mpnet-entropy_P,-0.013
bertscore-sentence-pagerank-cos-mpnet-entropy_R,0.22
